exchange_trade_id;config_file_path;strategy;market;symbol;base_asset;quote_asset;timestamp;order_id;trade_type;order_type;price;amount;leverage;trade_fee;position;age
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/4d6bcddbb8943bb9aea55d6aab;BUY;LIMIT;278,85;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/b000afb8f9512659b6be9ce922;BUY;LIMIT;20168,85;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/9f244331324af6bd55eaabdab3;BUY;LIMIT;1497,965;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/8cb7a4ba6a7f6ecde84584e842;BUY;LIMIT;278,75;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/92451d46841f2aa9767448e3a2;BUY;LIMIT;20188,56;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/e499a4ff839b15b664a21aa7a2;BUY;LIMIT;1498,905;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/fbdae3ee5a850941ab82afda42;BUY;LIMIT;278,95;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/af9eac797f91e2945405b5b9bc;BUY;LIMIT;20192,33;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/e048e2f972786905d2462a65cd;BUY;LIMIT;1498,385;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/5b87ef0f23c82440dfc9f29c31;BUY;LIMIT;279,15;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/7dc6eb4e3e5786e6339255fc6f;BUY;LIMIT;279,35;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/6f9c42c4adbb836ef03bb5a31b;BUY;LIMIT;20203,96;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/6106abd16d4c8f04d1cf3ab354;BUY;LIMIT;1500,525;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/d3aa42b103202763ccd768879f;BUY;LIMIT;20157,61;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/8a09531311186aaf4006f42ff7;BUY;LIMIT;1495,775;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/edf31826c87215ffa1f96b8450;BUY;LIMIT;278,55;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/fe2ce0383402db5f2e18be5817;BUY;LIMIT;20201,56;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/a36f5582e023eae3c0c2ff6275;BUY;LIMIT;1499,385;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_1.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/5d626f1de339a911fb923e224b;BUY;LIMIT;279,05;0,0049;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
