exchange_trade_id;config_file_path;strategy;market;symbol;base_asset;quote_asset;timestamp;order_id;trade_type;order_type;price;amount;leverage;trade_fee;position;age
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/f976f225e8901fc63e6125427d;BUY;LIMIT;20643,28;0,0047747;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/7bdceba74d769cc831833d79a6;BUY;LIMIT;285,55;0,3465935;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/1b186bb1b60128d1584a5e917a;BUY;LIMIT;1556,785;0,0630317;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/deebeed8a9f2f7d7551f284eaa;BUY;LIMIT;20646,89;0,0047747;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/c4921f30e50da41ca6ad44b1c5;BUY;LIMIT;285,45;0,3465935;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/1fca6b3f82c603c34f5add8d28;BUY;LIMIT;1554,635;0,0630317;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/42d8dd181e28d335179321f6e8;BUY;LIMIT;20619,67;0,0047747;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/1d7d357564ca4681021bd3f8e8;BUY;LIMIT;285,25;0,3465959;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/6a843c6afaab954bd5bcc2226d;BUY;LIMIT;20615,32;0,0047748;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/53e1c0479b81a34ee39893b772;BUY;LIMIT;1554,445;0,0630325;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_2.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/065eb45df13d30c42bbb2396a7;BUY;LIMIT;285,15;0,3465982;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
