exchange_trade_id;config_file_path;strategy;market;symbol;base_asset;quote_asset;timestamp;order_id;trade_type;order_type;price;amount;leverage;trade_fee;position;age
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/901bb19f619918d762f8520b76;BUY;LIMIT;20659,05;0,0047375;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/3a5a515ca9d086d56c8174569b;BUY;LIMIT;1557,955;0,0632532;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/abeeeb2806370d64cb59a43f4f;BUY;LIMIT;285,65;0,3414192;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;ADA-USDT;ADA;USDT;1,66E+12;buy://ADA-USDT/6eb6ab9e815f9e66be7c436bd3;BUY;LIMIT;0,44635;222,0789;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/4963ae7257c4c8a289b39daa54;BUY;LIMIT;20644,03;0,0047376;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/58551e922d1897cd2893296ed6;BUY;LIMIT;1556,845;0,0632552;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;ADA-USDT;ADA;USDT;1,66E+12;buy://ADA-USDT/6a21988ebd628585b9d0122d05;BUY;LIMIT;0,44625;222,0803;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/ea07b09313964b816f511fbb5b;BUY;LIMIT;285,55;0,3414286;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;ETH-USDT;ETH;USDT;1,66E+12;buy://ETH-USDT/20b52529249d8810da6d5e11c9;BUY;LIMIT;1556,165;0,0632535;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BTC-USDT;BTC;USDT;1,66E+12;buy://BTC-USDT/296d3c1ef205e7eccb5dacabf1;BUY;LIMIT;20640,18;0,0047375;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
1,66E+15;conf_scenario_3.yml;rsi_bb;binance_PaperTrade;BNB-USDT;BNB;USDT;1,66E+12;buy://BNB-USDT/c89e09871db416253dbca92848;BUY;LIMIT;285,55;0,3414238;1;{'fee_type': 'DeductedFromReturns', 'percent': '0.001', 'percent_token': None, 'flat_fees': []};NIL;n/a
